"Category"	"Comments"	"Family"	"Mark"	"OmniClass Title"	"Type"	"Type Mark"	"Room: Name"	"Room: Number"	"Room: Area"	"Room: Volume"	"Space: Zone"	"Manufacturer"	"Building Name"	"Level"
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Lighting Fixtures"	"OO-2-5"	"PRM4_T5_T5HO"	"Sensor018ff9"	"Direct/Indirect"	"PRM4 1 28T5 OPD WPB WHR 12FT R4 120 GEB10 -"	""	""	""	""	""	"Centralzone"	"Peerless"	"CIEE Office"	"Level 1"
"Lighting Fixtures"	"OO-1-5"	"PRM4_T5_T5HO"	"Sensor01935b"	"Direct/Indirect"	"PRM4 1 28T5 OPD WPB WHR 12FT R4 120 GEB10 -"	""	"Open Office"	"220"	"1405 SF"	"21600.06 CF"	"Northzone"	"Peerless"	"CIEE Office"	"Level 1"
"Lighting Fixtures"	"OO-2-4"	"PRM4_T5_T5HO"	"Sensor01907b"	"Direct/Indirect"	"PRM4 1 28T5 OPD WPB WHR 12FT R4 120 GEB10 -"	""	""	""	""	""	"Centralzone"	"Peerless"	"CIEE Office"	"Level 1"
"Lighting Fixtures"	"OO-1-4"	"PRM4_T5_T5HO"	"Sensor019324"	"Direct/Indirect"	"PRM4 1 28T5 OPD WPB WHR 12FT R4 120 GEB10 -"	""	"Open Office"	"220"	"1405 SF"	"21600.06 CF"	"Northzone"	"Peerless"	"CIEE Office"	"Level 1"
"Lighting Fixtures"	"OO-2-3"	"PRM4_T5_T5HO"	"Sensor30005f"	"Direct/Indirect"	"PRM4 1 28T5 OPD WPB WHR 12FT R4 120 GEB10 -"	""	""	""	""	""	"Centralzone"	"Peerless"	"CIEE Office"	"Level 1"
"Lighting Fixtures"	"OO-1-3"	"PRM4_T5_T5HO"	"Sensor01930e"	"Direct/Indirect"	"PRM4 1 28T5 OPD WPB WHR 12FT R4 120 GEB10 -"	""	"Open Office"	"220"	"1405 SF"	"21600.06 CF"	"Northzone"	"Peerless"	"CIEE Office"	"Level 1"
"Lighting Fixtures"	"OO-2-2"	"PRM4_T5_T5HO"	"Sensor01934e"	"Direct/Indirect"	"PRM4 1 28T5 OPD WPB WHR 12FT R4 120 GEB10 -"	""	""	""	""	""	"Centralzone"	"Peerless"	"CIEE Office"	"Level 1"
"Lighting Fixtures"	"OO-1-2"	"PRM4_T5_T5HO"	"Sensor01902e"	"Direct/Indirect"	"PRM4 1 28T5 OPD WPB WHR 12FT R4 120 GEB10 -"	""	"Open Office"	"220"	"1405 SF"	"21600.06 CF"	"Northzone"	"Peerless"	"CIEE Office"	"Level 1"
"Lighting Fixtures"	"OO-2-1"	"PRM4_T5_T5HO"	"Sensor01942b"	"Direct/Indirect"	"PRM4 1 28T5 OPD WPB WHR 12FT R4 120 GEB10 -"	""	""	""	""	""	"Centralzone"	"Peerless"	"CIEE Office"	"Level 1"
